"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 22 10:21:00 GMT 2021","Wed Sep 22 10:21:02 GMT 2021","1507","TodoMVC - React","Routing","","","","should highlight the currently applied filter",""
"passed","Wed Sep 22 10:20:21 GMT 2021","Wed Sep 22 10:20:21 GMT 2021","392","TodoMVC - React","No Todos","","","","should hide #main and #footer",""
"passed","Wed Sep 22 10:20:31 GMT 2021","Wed Sep 22 10:20:33 GMT 2021","1777","TodoMVC - React","Mark all as completed","","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Wed Sep 22 10:21:03 GMT 2021","Wed Sep 22 10:21:04 GMT 2021","1146","TodoMVC - React","Contrast","","","","has good contrast with several todos",""
"passed","Wed Sep 22 10:20:41 GMT 2021","Wed Sep 22 10:20:43 GMT 2021","2023","TodoMVC - React","Editing","","","","should trim entered text",""
"passed","Wed Sep 22 10:20:21 GMT 2021","Wed Sep 22 10:20:23 GMT 2021","1290","TodoMVC - React","New Todo","","","","should allow me to add todo items",""
"passed","Wed Sep 22 10:20:46 GMT 2021","Wed Sep 22 10:20:47 GMT 2021","1098","TodoMVC - React","Counter","","","","should display the current number of todo items",""
"passed","Wed Sep 22 10:21:25 GMT 2021","Wed Sep 22 10:21:26 GMT 2021","530","todo page","When page is initially opened","","","","should contain the todos creation field",""
"passed","Wed Sep 22 10:20:54 GMT 2021","Wed Sep 22 10:20:55 GMT 2021","1647","TodoMVC - React","Routing","","","","should allow me to display active items",""
"passed","Wed Sep 22 10:20:47 GMT 2021","Wed Sep 22 10:20:49 GMT 2021","1431","TodoMVC - React","Clear completed button","","","","should display the correct text",""
"passed","Wed Sep 22 10:20:26 GMT 2021","Wed Sep 22 10:20:27 GMT 2021","841","TodoMVC - React","New Todo","","","","should trim text input",""
"passed","Wed Sep 22 10:20:49 GMT 2021","Wed Sep 22 10:20:50 GMT 2021","1523","TodoMVC - React","Clear completed button","","","","should remove completed items when clicked",""
"passed","Wed Sep 22 10:21:02 GMT 2021","Wed Sep 22 10:21:03 GMT 2021","636","TodoMVC - React","Contrast","","","","has good contrast when empty",""
"passed","Wed Sep 22 10:20:23 GMT 2021","Wed Sep 22 10:20:24 GMT 2021","1197","TodoMVC - React","New Todo","","","","adds items",""
"passed","Wed Sep 22 10:20:39 GMT 2021","Wed Sep 22 10:20:41 GMT 2021","1815","TodoMVC - React","Editing","","","","should save edits on blur",""
"passed","Wed Sep 22 10:20:12 GMT 2021","Wed Sep 22 10:20:13 GMT 2021","955","","Adding a todo item","","","","displays the item as as a todo",""
"passed","Wed Sep 22 10:20:30 GMT 2021","Wed Sep 22 10:20:31 GMT 2021","1611","TodoMVC - React","Mark all as completed","","","","should allow me to clear the complete state of all items",""
"passed","Wed Sep 22 10:20:43 GMT 2021","Wed Sep 22 10:20:45 GMT 2021","1641","TodoMVC - React","Editing","","","","should remove the item if an empty text string was entered",""
"passed","Wed Sep 22 10:20:52 GMT 2021","Wed Sep 22 10:20:54 GMT 2021","1493","TodoMVC - React","Persistence","","","","should persist its data",""
"passed","Wed Sep 22 10:20:19 GMT 2021","Wed Sep 22 10:20:20 GMT 2021","1018","","TodoMVC - React","","","","adds 2 todos",""
"passed","Wed Sep 22 10:20:25 GMT 2021","Wed Sep 22 10:20:26 GMT 2021","1555","TodoMVC - React","New Todo","","","","should append new items to the bottom of the list",""
"passed","Wed Sep 22 10:20:34 GMT 2021","Wed Sep 22 10:20:35 GMT 2021","1331","TodoMVC - React","Item","","","","should allow me to un-mark items as complete",""
"passed","Wed Sep 22 10:20:55 GMT 2021","Wed Sep 22 10:20:57 GMT 2021","1943","TodoMVC - React","Routing","","","","should respect the back button",""
"passed","Wed Sep 22 10:20:24 GMT 2021","Wed Sep 22 10:20:25 GMT 2021","778","TodoMVC - React","New Todo","","","","should clear text input field when an item is added",""
"passed","Wed Sep 22 10:20:59 GMT 2021","Wed Sep 22 10:21:00 GMT 2021","1724","TodoMVC - React","Routing","","","","should allow me to display all items",""
"passed","Wed Sep 22 10:20:45 GMT 2021","Wed Sep 22 10:20:46 GMT 2021","1685","TodoMVC - React","Editing","","","","should cancel edits on escape",""
"passed","Wed Sep 22 10:21:24 GMT 2021","Wed Sep 22 10:21:25 GMT 2021","513","todo page","When page is initially opened","","","","the cursor should have focus on the todo input field",""
"passed","Wed Sep 22 10:20:50 GMT 2021","Wed Sep 22 10:20:52 GMT 2021","1623","TodoMVC - React","Clear completed button","","","","should be hidden when there are no items that are completed",""
"passed","Wed Sep 22 10:21:26 GMT 2021","Wed Sep 22 10:21:26 GMT 2021","367","todo page","When page is initially opened","","","","should display the help text ""Double-click to edit a todo"", ""Created by petehunt"", ""Part of TodoMVC""",""
"passed","Wed Sep 22 10:20:20 GMT 2021","Wed Sep 22 10:20:21 GMT 2021","440","TodoMVC - React","When page is initially opened","","","","should focus on the todo input field",""
"passed","Wed Sep 22 10:20:33 GMT 2021","Wed Sep 22 10:20:34 GMT 2021","1166","TodoMVC - React","Item","","","","should allow me to mark items as complete",""
